time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
0.000139279,0,1.65863,-1.48903,8.4766,-0.0715625,-0.000634039,0.0193688,0.165148,0,0,0
0.000139279,1,-0.361364,1.63422,1.4781,-0.0616965,-0.0588597,0.00934758,0.194199,0,0,0
0.000139279,2,-3.34889,-1.36579,5.43492,-0.0730415,-0.0546726,0.0353272,0.212322,0,0,0
0.000139279,3,2.34448,-2.41043,3.43736,0.0737307,-0.0463456,0.0337949,0.190083,0,0,0
0.000139279,4,-1.65275,3.52838,6.56853,0.0820111,-0.0201958,-0.0307256,0.170793,0,0,0
0.000139279,5,3.48165,2.39328,5.43559,0.00238463,0.0404595,0.0364638,0.125994,0,0,0
0.151419,0,1.65106,-1.48935,8.47748,-0.0652463,-7.76518e-05,0.0189554,30.0126,0,0,0
0.151419,1,-0.364832,1.63108,1.4781,-0.0591744,-0.0566542,0.00928391,0.194199,0,0,0
0.151419,2,-3.35304,-1.36965,5.43669,-0.0710825,-0.0531707,0.0344753,16.1087,0,0,0
0.151419,3,2.3489,-2.41343,3.4391,0.0716274,-0.0453513,0.0330055,29.2054,0,0,0
0.151419,4,-1.64457,3.52663,6.56704,0.0754819,-0.0207523,-0.0300922,20.834,0,0,0
0.151419,5,3.48198,2.39604,5.43747,0.00246513,0.0400635,0.0353173,31.3108,0,0,0
0.290899,0,1.64704,-1.48965,8.47849,-0.0635398,-0.000261017,0.0183757,24.4913,0,0,0
0.290899,1,-0.368905,1.62749,1.47904,-0.0590654,-0.0562555,0.00886372,22.1146,0,0,0
0.290899,2,-3.35704,-1.37337,5.43842,-0.0690058,-0.0515988,0.0336325,25.985,0,0,0
0.290899,3,2.35321,-2.41634,3.44076,0.0696103,-0.0443529,0.0321505,24.0721,0,0,0
0.290899,4,-1.64036,3.52611,6.56553,0.0733475,-0.0198956,-0.0290952,30.9593,0,0,0
0.290899,5,3.48223,2.39867,5.43923,0.00231319,0.0394113,0.0342099,30.0812,0,0,0
0.449604,0,1.64312,-1.48994,8.47934,-0.0618993,-0.000419286,0.0178591,30.0069,0,0,0
0.449604,1,-0.372714,1.62405,1.4795,-0.0582418,-0.0555466,0.00879722,22.8542,0,0,0
0.449604,2,-3.36091,-1.37697,5.4401,-0.0669044,-0.050045,0.0328306,25.98,0,0,0
0.449604,3,2.35742,-2.41918,3.44237,0.0676773,-0.0433522,0.0313515,29.2087,0,0,0
0.449604,4,-1.64011,3.52635,6.56412,0.0741867,-0.01908,-0.0282931,20.8394,0,0,0
0.449604,5,3.48245,2.40122,5.44092,0.00209199,0.03863,0.0332356,31.3141,0,0,0
0.635389,0,1.63931,-1.49023,8.48022,-0.0601682,-0.000519339,0.013229,29.274,0,0,0
0.635389,1,-0.376316,1.62079,1.47995,-0.0569751,-0.0544343,0.00858805,25.1714,0,0,0
0.635389,2,-3.36467,-1.38048,5.44174,-0.0648012,-0.0485265,0.0315818,21.6657,0,0,0
0.635389,3,2.36152,-2.42195,3.44378,0.0658431,-0.0423418,0.0309429,28.4345,0,0,0
0.635389,4,-1.63312,3.52534,6.56296,0.0664392,-0.0175316,-0.0228268,26.8662,0,0,0
