shape,file,convergence_time,min_distance
sphere,2.csv,44.464360721,3.3482977474531737
cube,3.csv,51.344440418999994,1.9723062191759173
torus,4.csv,45.953113091000006,2.767932522608888
pyramid,5.csv,42.639045696,0.7837964198055515
flat-sphere,6.csv,39.891438734,6.268497979269037
flat-cube,7.csv,42.235711595,2.5649595320302114
large-torus,8.csv,31.100835320999998,4.785755272876372
sphere,9.csv,41.062543719000004,1.4025283863437488
cube,10.csv,50.069781062,2.1530604230722368
torus,11.csv,46.757439366,0.7280810461068191
pyramid,12.csv,43.475726226,1.7266357175733387
flat-sphere,13.csv,49.766229569000004,1.9638912803808666
flat-cube,14.csv,40.382812988,6.08096327560034
large-torus,15.csv,37.649134836,1.1459081681792829
sphere,16.csv,42.088634676000005,3.619297883250286
cube,17.csv,53.025634647000004,1.7146215079136269
torus,18.csv,47.436736511999996,2.662453518316517
pyramid,19.csv,46.975535885,0.9004235661620591
flat-sphere,20.csv,43.855864122,1.5662497313327781
flat-cube,21.csv,48.866339993,0.9517818555472681
large-torus,22.csv,32.372533106999995,4.247203452473168
sphere,23.csv,43.928334851,2.1052851007880142
cube,24.csv,53.128181182,0.7530393942550423
torus,25.csv,52.114035445,2.1683780239084234
pyramid,26.csv,47.698888843,0.8439843899622799
flat-sphere,27.csv,52.308574195,1.7048862412782853
flat-cube,28.csv,39.543513597,4.065093563031483
large-torus,29.csv,35.620439411,3.586964355715847
sphere,30.csv,42.303510445,0.7106127621989351
cube,31.csv,51.001242346,2.0383770466967097
torus,32.csv,47.22741286,1.4469701422078474
pyramid,33.csv,48.352529858000004,1.1924109394835316
flat-sphere,34.csv,53.531232878000004,2.078177995119763
flat-cube,35.csv,38.94648814,6.735923009150268
large-torus,36.csv,37.328462952,2.52524945690599
sphere,37.csv,44.596627018,2.0877385119070824
cube,38.csv,48.346343095,2.854554961075368
torus,39.csv,50.195874056,2.0462804255037965
pyramid,40.csv,46.328812377999995,1.312940602959631
flat-sphere,41.csv,44.529944425000004,3.3747951634728883
flat-cube,42.csv,39.389771627,7.08568720304707
large-torus,43.csv,33.243960272,1.8190764022591244
