time,uav_id,px,py,pz,vx,vy,vz,feedback,ref_x,ref_y,ref_z
6.6176e-05,0,-1.76539,0.968013,8.31263,-0.410507,-0.304234,0.113471,0.9224,0,0,0
6.6176e-05,1,1.51826,-3.69459,6.07282,-0.516238,-0.394976,0.190569,1.36675,0,0,0
6.6176e-05,2,-2.47697,-1.41545,4.35024,-0.950533,-0.766109,0.0531373,2.38928,0,0,0
6.6176e-05,3,0.834132,-0.0816475,1.19411,-0.32033,-0.814906,0.0442115,1.57312,0,0,0
6.6176e-05,4,2.91141,2.30588,5.65642,-0.323146,-0.47823,-0.0913524,0.984695,0,0,0
6.6176e-05,5,-2.06855,3.16521,3.4839,-0.243781,-0.413494,-0.0281467,0.843965,0,0,0
0.125908,0,-1.78967,0.950487,8.31895,-0.432964,-0.330835,0.0995625,0.9224,0,0,0
0.125908,1,1.48594,-3.72242,6.08346,-0.550138,-0.427926,0.167673,1.36675,0,0,0
0.125908,2,-2.52782,-1.45797,4.35535,-0.960544,-0.785815,0.0328147,2.30029,0,0,0
0.125908,3,0.834132,-0.0816475,1.19411,-0.32033,-0.814906,0.0442115,1.48894,0,0,0
0.125908,4,2.89406,2.27933,5.65374,-0.34665,-0.499207,-0.0980654,0.91824,0,0,0
0.125908,5,-2.08836,3.14321,3.48349,-0.281175,-0.439127,-0.0324389,0.843965,0,0,0
0.252566,0,-1.81302,0.933791,8.3252,-0.448679,-0.349786,0.091252,0.860402,0,0,0
0.252566,1,1.45142,-3.75057,6.0934,-0.58708,-0.457003,0.150236,1.36675,0,0,0
0.252566,2,-2.57881,-1.49151,4.36063,-0.970297,-0.770699,0.00341442,2.30029,0,0,0
0.252566,3,0.816226,-0.123808,1.19902,-0.344625,-0.82611,0.0448239,1.48894,0,0,0
0.252566,4,2.87923,2.25718,5.64996,-0.358675,-0.502182,-0.100421,0.91824,0,0,0
0.252566,5,-2.09098,3.14592,3.48306,-0.290631,-0.42866,-0.0390481,0.763833,0,0,0
0.389516,0,-1.83527,0.918091,8.33159,-0.458011,-0.361793,0.0836837,0.860402,0,0,0
0.389516,1,1.42537,-3.77406,6.10296,-0.590253,-0.466793,0.138506,1.6231,0,0,0
0.389516,2,-2.6713,-1.5644,4.36482,-0.954148,-0.76593,-0.0196265,1.37298,0,0,0
0.389516,3,0.795935,-0.191387,1.21045,-0.333053,-0.793158,0.0507356,0.547647,0,0,0
0.389516,4,2.86469,2.23176,5.64673,-0.366183,-0.515628,-0.10093,1.40845,0,0,0
0.389516,5,-2.12287,3.10589,3.48228,-0.327092,-0.459611,-0.0375828,0.763833,0,0,0
0.520472,0,-1.85633,0.903466,8.33733,-0.461586,-0.367668,0.0792052,1.14377,0,0,0
0.520472,1,1.39717,-3.79789,6.11207,-0.598592,-0.47537,0.128963,1.35852,0,0,0
0.520472,2,-2.72499,-1.60029,4.36784,-0.971417,-0.76078,-0.0433199,1.37298,0,0,0
0.520472,3,0.785717,-0.224127,1.21587,-0.32732,-0.774602,0.0554984,0.547647,0,0,0
0.520472,4,2.85059,2.20872,5.64357,-0.371084,-0.518313,-0.099016,1.40845,0,0,0
0.520472,5,-2.14122,3.08574,3.48209,-0.348887,-0.472003,-0.0319735,1.50463,0,0,0
0.643264,0,-1.87618,0.88993,8.34273,-0.460072,-0.368239,0.0760356,1.14377,0,0,0
0.643264,1,1.37048,-3.82025,6.1208,-0.600039,-0.478256,0.121902,1.35852,0,0,0
0.643264,2,-2.7812,-1.63368,4.37116,-0.994347,-0.74813,-0.0678181,1.4708,0,0,0
0.643264,3,0.77044,-0.261303,1.22127,-0.339641,-0.774542,0.0541297,0.488331,0,0,0
0.643264,4,2.83714,2.18649,5.64091,-0.372587,-0.516801,-0.0972207,1.38908,0,0,0
0.643264,5,-2.13921,3.09124,3.48209,-0.342971,-0.451003,-0.0314111,1.50463,0,0,0
0.769883,0,-1.89485,0.877446,8.34802,-0.454115,-0.364264,0.069621,1.5316,0,0,0
0.769883,1,1.34528,-3.84099,6.13025,-0.596077,-0.476013,0.111091,1.39961,0,0,0
0.769883,2,-2.7808,-1.62766,4.37627,-0.992288,-0.725027,-0.0940086,1.4708,0,0,0
0.769883,3,0.762273,-0.290632,1.22673,-0.328218,-0.750547,0.0504113,0.488331,0,0,0
0.769883,4,2.82548,2.16635,5.63825,-0.367829,-0.507646,-0.0950536,1.38908,0,0,0
0.769883,5,-2.17148,3.05282,3.48176,-0.364666,-0.467712,-0.0268797,1.7993,0,0,0
0.905791,0,-1.9097,0.867444,8.35201,-0.435546,-0.352081,0.05823,1.5316,0,0,0
0.905791,1,1.32665,-3.85573,6.13819,-0.570876,-0.455098,0.099316,1.39961,0,0,0
0.905791,2,-2.82696,-1.65624,4.37958,-0.980648,-0.699984,-0.0968247,1.43041,0,0,0
0.905791,3,0.759601,-0.312829,1.23217,-0.299364,-0.704137,0.0420221,0.43278,0,0,0
0.905791,4,2.81468,2.14778,5.63609,-0.360809,-0.493209,-0.0928826,1.3738,0,0,0
0.905791,5,-2.18435,3.03838,3.48176,-0.363341,-0.459495,-0.0192297,1.7993,0,0,0
1.02188,0,-1.92832,0.855912,8.35581,-0.431601,-0.344878,0.038754,1.49675,0,0,0
1.02188,1,1.30075,-3.87479,6.14944,-0.572797,-0.450535,0.0816438,1.43271,0,0,0
1.02188,2,-2.86986,-1.68268,4.38324,-0.957753,-0.670703,-0.102007,1.43041,0,0,0
1.02188,3,0.753202,-0.337368,1.23766,-0.284154,-0.671653,0.0368929,0.43278,0,0,0
1.02188,4,2.80315,2.12991,5.63312,-0.357047,-0.477583,-0.090751,1.3738,0,0,0
1.02188,5,-2.17855,3.04688,3.48201,-0.343657,-0.429601,-0.0143454,1.7486,0,0,0
1.15006,0,-1.94444,0.845466,8.35821,-0.419338,-0.334865,0.0230342,1.49675,0,0,0
1.15006,1,1.27888,-3.88958,6.16023,-0.562944,-0.432462,0.064179,1.43271,0,0,0
1.15006,2,-2.95557,-1.73964,4.38685,-0.918297,-0.637919,-0.139189,1.35838,0,0,0
1.15006,3,0.746575,-0.359917,1.24324,-0.271337,-0.63659,0.0339765,0.399229,0,0,0
1.15006,4,2.79351,2.11639,5.63067,-0.346846,-0.449174,-0.0857682,1.36121,0,0,0
1.15006,5,-2.20662,3.0126,3.48223,-0.349315,-0.434667,0.00278949,1.7486,0,0,0
1.2743,0,-1.95945,0.835714,8.3595,-0.404843,-0.323827,0.0126308,1.46254,0,0,0
1.2743,1,1.25407,-3.90745,6.17097,-0.564987,-0.426437,0.0365385,1.46617,0,0,0
1.2743,2,-2.94495,-1.73094,4.38899,-0.872519,-0.604842,-0.188145,1.35838,0,0,0
1.2743,3,0.740075,-0.379609,1.24887,-0.259787,-0.596392,0.0312475,0.399229,0,0,0
1.2743,4,2.78229,2.10484,5.62921,-0.34251,-0.417836,-0.0774804,1.36121,0,0,0
1.2743,5,-2.21593,3.00223,3.48335,-0.336662,-0.416075,0.0296303,1.72379,0,0,0
1.40005,0,-1.97362,0.825995,8.36113,-0.389411,-0.31396,0.0123215,1.46254,0,0,0
1.40005,1,1.24324,-3.90633,6.17866,-0.52337,-0.361979,0.0403312,1.46617,0,0,0
1.40005,2,-3.0001,-1.77289,4.38608,-0.745708,-0.538852,-0.218794,1.29994,0,0,0
